Award	Date	Category	Recipient(s) and nominee(s)	Result	Ref.
British Academy Games Awards	April 4, 2019	Best Game	Red Dead Redemption 2	Nominated	[58]
British Academy Games Awards	April 4, 2019	Artistic Achievement	Red Dead Redemption 2	Nominated	[58]
British Academy Games Awards	April 4, 2019	Audio Achievement	Red Dead Redemption 2	Nominated	[58]
British Academy Games Awards	April 4, 2019	British Game	Red Dead Redemption 2	Nominated	[58]
British Academy Games Awards	April 4, 2019	Narrative	Red Dead Redemption 2	Nominated	[58]
British Academy Games Awards	April 4, 2019	Performer	Roger Clark as Arthur Morgan	Nominated	[58]
D.I.C.E. Awards	February 14, 2019	Outstanding Technical Achievement	Red Dead Redemption 2	Won	[59]
D.I.C.E. Awards	February 14, 2019	Game of the Year	Red Dead Redemption 2	Nominated	[55]
D.I.C.E. Awards	February 14, 2019	Adventure Game of the Year	Red Dead Redemption 2	Nominated	[55]
D.I.C.E. Awards	February 14, 2019	Online Game of the Year	Red Dead Redemption 2	Nominated	[55]
D.I.C.E. Awards	February 14, 2019	Outstanding Achievement in Animation	Red Dead Redemption 2	Nominated	[55]
D.I.C.E. Awards	February 14, 2019	Outstanding Achievement in Art Direction	Red Dead Redemption 2	Nominated	[55]
D.I.C.E. Awards	February 14, 2019	Outstanding Achievement in Character	Arthur Morgan	Nominated	[55]
D.I.C.E. Awards	February 14, 2019	Outstanding Achievement in Game Direction	Red Dead Redemption 2	Nominated	[55]
Dragon Awards	September 2, 2019	Best Science Fiction or Fantasy PC / Console Game	Red Dead Redemption 2	Won	[60]
Game Audio Network Guild Awards	March 21, 2019	G.A.N.G. / MAGFEST People's Choice Award	Red Dead Redemption 2	Nominated	[61]
The Game Awards	December 1, 2016	Most Anticipated Game	Red Dead Redemption 2	Nominated	[2]
The Game Awards	December 7, 2017	Most Anticipated Game	Red Dead Redemption 2	Nominated	[3]
The Game Awards	December 6, 2018	Best Audio Design	Red Dead Redemption 2	Won	[48]
The Game Awards	December 6, 2018	Best Narrative	Red Dead Redemption 2	Won	[48]
The Game Awards	December 6, 2018	Best Performance	Roger Clark as Arthur Morgan	Won	[48]
The Game Awards	December 6, 2018	Best Score/Music	Red Dead Redemption 2	Won	[48]
The Game Awards	December 6, 2018	Game of the Year	Red Dead Redemption 2	Nominated	[48]
The Game Awards	December 6, 2018	Best Action/Adventure Game	Red Dead Redemption 2	Nominated	[48]
The Game Awards	December 6, 2018	Best Art Direction	Red Dead Redemption 2	Nominated	[48]
The Game Awards	December 6, 2018	Best Game Direction	Red Dead Redemption 2	Nominated	[48]
